"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-105.48","49.05","CORONACH SPC","40318MN","2020-01-28","2020","01","28","","-0.7","","-10.1","","-5.4","","23.4","","0.0","","","","","","0.2","","14","","","","",""
"-105.48","49.05","CORONACH SPC","40318MN","2020-01-29","2020","01","29","","-2.5","","-10.2","","-6.4","","24.4","","0.0","","","","","","0.0","","14","","","","",""
"-105.48","49.05","CORONACH SPC","40318MN","2020-01-30","2020","01","30","","0.0","","-13.2","","-6.6","","24.6","","0.0","","","","","","1.2","","14","","32","","60",""
"-105.48","49.05","CORONACH SPC","40318MN","2020-01-31","2020","01","31","","3.3","","-11.2","","-3.9","","21.9","","0.0","","","","","","0.0","","15","","27","","41",""
"-105.48","49.05","CORONACH SPC","40318MN","2020-02-01","2020","02","01","","7.6","","-2.2","","2.7","","15.3","","0.0","","","","","","0.0","","14","","25","","71",""
"-105.48","49.05","CORONACH SPC","40318MN","2020-02-02","2020","02","02","","1.9","","-9.6","","-3.8","","21.8","","0.0","","","","","","0.0","","5","","29","","60",""
"-105.48","49.05","CORONACH SPC","40318MN","2020-02-03","2020","02","03","","-4.6","","-13.5","","-9.0","","27.0","","0.0","","","","","","0.0","","5","","","","",""
"-105.48","49.05","CORONACH SPC","40318MN","2020-02-04","2020","02","04","","-3.7","","-16.7","","-10.2","","28.2","","0.0","","","","","","0.0","","5","","20","","48",""
"-105.48","49.05","CORONACH SPC","40318MN","2020-02-05","2020","02","05","","0.8","","-10.5","","-4.9","","22.9","","0.0","","","","","","0.0","","5","","20","","32",""
"-105.48","49.05","CORONACH SPC","40318MN","2020-02-06","2020","02","06","","-3.4","","-11.9","","-7.7","","25.7","","0.0","","","","","","1.0","","5","","","","",""
