,Unnamed: 0,country_code,country,region_1,date,retail_recreation,grocery_pharmacy,parks,transit,workplaces,residential,s_d_score
37,16937,CA,Canada,Alberta,2020-03-23,27.397260273972606,40.845070422535215,14.572864321608042,16.666666666666668,38.0952380952381,61.76470588235294,73.68777973935553
38,16938,CA,Canada,Alberta,2020-03-24,20.547945205479458,33.80281690140845,10.050251256281408,13.095238095238097,34.523809523809526,70.58823529411764,83.65888926290175
39,16939,CA,Canada,Alberta,2020-03-25,21.917808219178088,40.845070422535215,13.06532663316583,13.095238095238097,33.33333333333334,70.58823529411764,79.03768909691577
40,16940,CA,Canada,Alberta,2020-03-26,21.917808219178088,39.436619718309856,13.5678391959799,10.714285714285717,32.142857142857146,70.58823529411764,79.96115289949508
41,16941,CA,Canada,Alberta,2020-03-27,20.547945205479458,40.845070422535215,17.587939698492466,14.285714285714288,33.33333333333334,73.52941176470587,78.02874441856291
42,16942,CA,Canada,Alberta,2020-03-28,10.958904109589048,26.76056338028169,5.527638190954774,16.666666666666668,45.23809523809524,52.941176470588225,85.1736493900706
43,16943,CA,Canada,Alberta,2020-03-29,10.958904109589048,15.492957746478869,14.070351758793972,16.666666666666668,44.04761904761905,44.11764705882353,83.81473633233173
44,16944,CA,Canada,Alberta,2020-03-30,17.808219178082197,25.352112676056336,1.0050251256281424,7.142857142857144,30.952380952380953,67.64705882352942,92.30091282030376
45,16945,CA,Canada,Alberta,2020-03-31,16.43835616438357,26.76056338028169,2.0100502512562812,8.333333333333334,29.761904761904766,73.52941176470587,93.02709250094158
46,16946,CA,Canada,Alberta,2020-04-01,21.917808219178088,38.0281690140845,1.0050251256281424,7.142857142857144,29.761904761904766,73.52941176470587,87.54887998010614
47,16947,CA,Canada,Alberta,2020-04-02,19.178082191780828,35.21126760563379,1.5075376884422118,5.952380952380957,29.761904761904766,76.47058823529413,90.3327254066668
48,16948,CA,Canada,Alberta,2020-04-03,16.43835616438357,33.80281690140845,1.0050251256281424,7.142857142857144,30.952380952380953,79.41176470588235,92.40686415189572
49,16949,CA,Canada,Alberta,2020-04-04,13.698630136986306,28.169014084507037,10.050251256281408,16.666666666666668,42.85714285714286,52.941176470588225,81.95709718347864
50,16950,CA,Canada,Alberta,2020-04-05,8.219178082191785,9.859154929577462,0.0,9.523809523809526,41.66666666666667,47.05882352941176,95.34144743121404
51,16951,CA,Canada,Alberta,2020-04-06,21.917808219178088,32.394366197183096,12.562814070351761,9.523809523809526,30.952380952380953,67.64705882352942,82.81245516761582
52,16952,CA,Canada,Alberta,2020-04-07,20.547945205479458,35.21126760563379,7.537688442211055,8.333333333333334,29.761904761904766,73.52941176470587,86.04436861335383
53,16953,CA,Canada,Alberta,2020-04-08,24.657534246575345,45.070422535211264,14.070351758793972,9.523809523809526,29.761904761904766,70.58823529411764,76.92926605082681
54,16954,CA,Canada,Alberta,2020-04-09,36.98630136986302,69.01408450704224,20.603015075376884,11.904761904761907,28.571428571428577,67.64705882352942,59.478477685778394
55,16955,CA,Canada,Alberta,2020-04-10,8.219178082191785,32.394366197183096,7.035175879396986,0.0,0.0,100.0,100.0
56,16956,CA,Canada,Alberta,2020-04-11,15.068493150684933,38.0281690140845,3.517587939698493,15.47619047619048,39.2857142857143,52.941176470588225,80.47017701598796
57,16957,CA,Canada,Alberta,2020-04-12,0.0,0.0,4.0201005025125625,11.904761904761907,38.0952380952381,47.05882352941176,99.36381541774192
58,16958,CA,Canada,Alberta,2020-04-13,20.547945205479458,29.57746478873239,16.080402010050253,7.142857142857144,22.619047619047624,73.52941176470587,85.07311008802908
59,16959,CA,Canada,Alberta,2020-04-14,23.28767123287672,35.21126760563379,10.552763819095478,9.523809523809526,29.761904761904766,73.52941176470587,83.79790676886401
60,16960,CA,Canada,Alberta,2020-04-15,24.657534246575345,42.25352112676056,7.035175879396986,8.333333333333334,29.761904761904766,73.52941176470587,82.22501648758525
61,16961,CA,Canada,Alberta,2020-04-16,30.136986301369866,50.70422535211267,23.115577889447238,11.904761904761907,29.761904761904766,70.58823529411764,68.76065440696749
62,16962,CA,Canada,Alberta,2020-04-17,24.657534246575345,40.845070422535215,11.557788944723619,11.904761904761907,30.952380952380953,76.47058823529413,80.928197594845
63,16963,CA,Canada,Alberta,2020-04-18,19.178082191780828,33.80281690140845,15.075376884422113,25.000000000000007,47.61904761904762,49.99999999999999,73.31409515004759
64,16964,CA,Canada,Alberta,2020-04-19,21.917808219178088,23.943661971830988,36.18090452261307,27.380952380952383,48.80952380952381,38.23529411764705,63.94247051167137
65,16965,CA,Canada,Alberta,2020-04-20,31.506849315068497,39.436619718309856,34.17085427135678,16.666666666666668,32.142857142857146,61.76470588235294,64.90786060477669
66,16966,CA,Canada,Alberta,2020-04-21,30.136986301369866,40.845070422535215,34.67336683417086,15.47619047619048,32.142857142857146,64.70588235294117,65.54962120653384
67,16967,CA,Canada,Alberta,2020-04-22,28.767123287671236,43.66197183098591,20.603015075376884,13.095238095238097,32.142857142857146,67.64705882352942,72.06151932611034
68,16968,CA,Canada,Alberta,2020-04-23,28.767123287671236,45.070422535211264,19.09547738693467,13.095238095238097,32.142857142857146,67.64705882352942,72.10450438300438
69,16969,CA,Canada,Alberta,2020-04-24,26.027397260273975,43.66197183098591,27.638190954773872,16.666666666666668,33.33333333333334,67.64705882352942,68.95496951169277
70,16970,CA,Canada,Alberta,2020-04-25,24.657534246575345,36.61971830985915,28.643216080402013,29.761904761904766,48.80952380952381,44.11764705882353,62.205085777466394
71,16971,CA,Canada,Alberta,2020-04-26,24.657534246575345,28.169014084507037,29.64824120603015,25.000000000000007,47.61904761904762,38.23529411764705,64.77093697580648
72,16972,CA,Canada,Alberta,2020-04-27,30.136986301369866,38.0281690140845,20.100502512562816,14.285714285714288,33.33333333333334,61.76470588235294,72.37750682779254
73,16973,CA,Canada,Alberta,2020-04-28,32.87671232876712,45.070422535211264,37.185929648241206,16.666666666666668,32.142857142857146,41.17647058823529,55.025171025894124
74,16974,CA,Canada,Alberta,2020-04-29,32.87671232876712,49.29577464788732,35.175879396984925,15.47619047619048,32.142857142857146,64.70588235294117,61.05169443567928
75,16975,CA,Canada,Alberta,2020-04-30,31.506849315068497,47.88732394366196,19.597989949748744,14.285714285714288,32.142857142857146,64.70588235294117,68.89314471394863
76,16976,CA,Canada,Alberta,2020-05-01,32.87671232876712,50.70422535211267,35.175879396984925,22.61904761904762,34.523809523809526,64.70588235294117,58.83660427789593
77,16977,CA,Canada,Alberta,2020-05-02,31.506849315068497,46.478873239436616,53.26633165829146,39.28571428571429,52.38095238095239,35.29411764705882,41.13978224787553
78,16978,CA,Canada,Alberta,2020-05-03,26.027397260273975,28.169014084507037,25.125628140703522,26.190476190476193,52.38095238095239,35.29411764705882,65.24094703718109
79,16979,CA,Canada,Alberta,2020-05-04,31.506849315068497,40.845070422535215,12.06030150753769,13.095238095238097,33.33333333333334,61.76470588235294,74.52328955828749
80,16980,CA,Canada,Alberta,2020-05-05,39.726027397260275,56.33802816901407,50.251256281407045,20.23809523809524,34.523809523809526,58.823529411764696,47.159328874551925
81,16981,CA,Canada,Alberta,2020-05-06,36.98630136986302,53.52112676056338,35.678391959798994,17.85714285714286,34.523809523809526,61.76470588235294,56.62535524702809
82,16982,CA,Canada,Alberta,2020-05-07,35.61643835616439,53.52112676056338,28.643216080402013,16.666666666666668,34.523809523809526,61.76470588235294,60.234648157240564
83,16983,CA,Canada,Alberta,2020-05-08,31.506849315068497,53.52112676056338,25.125628140703522,19.04761904761905,36.904761904761905,64.70588235294117,63.07080191887474
84,16984,CA,Canada,Alberta,2020-05-09,34.24657534246576,61.97183098591549,37.68844221105528,32.142857142857146,57.14285714285714,35.29411764705882,42.107455673634156
85,16985,CA,Canada,Alberta,2020-05-10,35.61643835616439,47.88732394366196,21.105527638190956,26.190476190476193,58.333333333333336,29.411764705882348,54.47019274726414
86,16986,CA,Canada,Alberta,2020-05-11,34.24657534246576,42.25352112676056,26.633165829145728,17.85714285714286,36.904761904761905,55.88235294117647,64.27950405857521
87,16987,CA,Canada,Alberta,2020-05-12,36.98630136986302,46.478873239436616,36.68341708542713,19.04761904761905,36.904761904761905,58.823529411764696,58.082694413180405
88,16988,CA,Canada,Alberta,2020-05-13,43.835616438356176,60.56338028169014,54.2713567839196,22.61904761904762,38.0952380952381,55.88235294117647,41.23668983716791
89,16989,CA,Canada,Alberta,2020-05-14,45.205479452054796,60.56338028169014,36.68341708542713,20.23809523809524,36.904761904761905,55.88235294117647,48.90989779355254
90,16990,CA,Canada,Alberta,2020-05-15,43.835616438356176,59.15492957746478,52.76381909547738,27.380952380952383,36.904761904761905,52.941176470588225,40.56126745669619
91,16991,CA,Canada,Alberta,2020-05-16,41.09589041095891,54.92957746478873,80.40201005025126,44.04761904761905,58.333333333333336,26.470588235294112,19.987396844336587
92,16992,CA,Canada,Alberta,2020-05-17,45.205479452054796,43.66197183098591,79.39698492462311,39.28571428571429,60.71428571428572,20.588235294117645,23.563171428590902
93,16993,CA,Canada,Alberta,2020-05-18,39.726027397260275,49.29577464788732,69.84924623115577,14.285714285714288,2.3809523809523827,67.64705882352942,45.67290167390563
94,16994,CA,Canada,Alberta,2020-05-19,49.31506849315069,56.33802816901407,41.20603015075377,22.61904761904762,38.0952380952381,55.88235294117647,47.200330293119016
95,16995,CA,Canada,Alberta,2020-05-20,53.42465753424658,66.19718309859154,28.14070351758794,20.23809523809524,39.2857142857143,55.88235294117647,48.067268201820106
96,16996,CA,Canada,Alberta,2020-05-21,42.465753424657535,52.112676056338024,4.0201005025125625,13.095238095238097,36.904761904761905,67.64705882352942,72.05352744361059
97,16997,CA,Canada,Alberta,2020-05-22,41.09589041095891,54.92957746478873,13.5678391959799,17.85714285714286,41.66666666666667,61.76470588235294,64.39070456229834
98,16998,CA,Canada,Alberta,2020-05-23,46.57534246575343,60.56338028169014,52.76381909547738,40.47619047619048,69.04761904761905,32.35294117647059,30.444613228206613
99,16999,CA,Canada,Alberta,2020-05-24,53.42465753424658,49.29577464788732,100.0,45.23809523809524,66.66666666666667,17.64705882352941,8.138181444948756
100,17000,CA,Canada,Alberta,2020-05-25,58.90410958904111,56.33802816901407,49.74874371859297,26.190476190476193,40.47619047619048,47.05882352941176,37.81614352531999
101,17001,CA,Canada,British Columbia,2020-02-15,84.72222222222223,50.724637681159415,14.864864864864863,89.6103896103896,89.15662650602411,6.896551724137928,20.68788533495806
102,17002,CA,Canada,British Columbia,2020-02-16,100.0,53.623188405797094,35.13513513513513,100.0,91.56626506024097,0.0,1.729044112767227
103,17003,CA,Canada,British Columbia,2020-02-17,90.27777777777779,63.76811594202898,68.018018018018,59.74025974025974,13.253012048192769,48.275862068965516,6.055856753094416
104,17004,CA,Canada,British Columbia,2020-02-18,91.66666666666667,62.318840579710134,43.69369369369369,88.3116883116883,95.18072289156628,6.896551724137928,0.6954669671283173
105,17005,CA,Canada,British Columbia,2020-02-19,91.66666666666667,59.42028985507246,40.99099099099098,93.50649350649351,93.97590361445783,6.896551724137928,1.9556447260320222
106,17006,CA,Canada,British Columbia,2020-02-20,91.66666666666667,62.318840579710134,41.89189189189189,87.01298701298701,93.97590361445783,6.896551724137928,1.8711808677176562
107,17007,CA,Canada,British Columbia,2020-02-21,91.66666666666667,55.072463768115945,36.48648648648648,90.9090909090909,95.18072289156628,3.448275862068967,5.541528059979703
108,17008,CA,Canada,British Columbia,2020-02-22,90.27777777777779,55.072463768115945,26.126126126126124,92.20779220779221,96.3855421686747,6.896551724137928,11.53910843318794
109,17009,CA,Canada,British Columbia,2020-02-23,87.5,50.724637681159415,15.765765765765764,88.3116883116883,93.97590361445783,6.896551724137928,19.864827231072816
110,17010,CA,Canada,British Columbia,2020-02-24,84.72222222222223,56.52173913043478,26.576576576576578,87.01298701298701,96.3855421686747,6.896551724137928,13.307798181560784
111,17011,CA,Canada,British Columbia,2020-02-25,86.11111111111111,55.072463768115945,27.027027027027025,88.3116883116883,98.79518072289156,6.896551724137928,13.01693907539159
112,17012,CA,Canada,British Columbia,2020-02-26,86.11111111111111,56.52173913043478,31.08108108108108,90.9090909090909,96.3855421686747,6.896551724137928,9.878546361528565
113,17013,CA,Canada,British Columbia,2020-02-27,86.11111111111111,56.52173913043478,27.027027027027025,87.01298701298701,97.59036144578313,6.896551724137928,12.747322532912733
114,17014,CA,Canada,British Columbia,2020-02-28,90.27777777777779,56.52173913043478,24.774774774774773,89.6103896103896,97.59036144578313,0.0,10.411782557524992
115,17015,CA,Canada,British Columbia,2020-02-29,93.05555555555557,62.318840579710134,34.234234234234236,96.10389610389609,97.59036144578313,3.448275862068967,2.268662019007315
116,17016,CA,Canada,British Columbia,2020-03-01,93.05555555555557,60.8695652173913,30.630630630630627,94.8051948051948,96.3855421686747,3.448275862068967,4.88970636266485
117,17017,CA,Canada,British Columbia,2020-03-02,81.94444444444446,56.52173913043478,13.06306306306306,81.81818181818181,96.3855421686747,10.344827586206895,22.672051231239116
118,17018,CA,Canada,British Columbia,2020-03-03,87.5,60.8695652173913,28.828828828828822,84.41558441558442,100.0,10.344827586206895,11.328722561522794
119,17019,CA,Canada,British Columbia,2020-03-04,90.27777777777779,59.42028985507246,41.89189189189189,92.20779220779221,96.3855421686747,3.448275862068967,1.2486640092176786
120,17020,CA,Canada,British Columbia,2020-03-05,84.72222222222223,55.072463768115945,22.52252252252252,81.81818181818181,96.3855421686747,10.344827586206895,17.94896131073495
121,17021,CA,Canada,British Columbia,2020-03-06,93.05555555555557,59.42028985507246,40.99099099099098,92.20779220779221,98.79518072289156,0.0,0.09854939061063687
122,17022,CA,Canada,British Columbia,2020-03-07,87.5,56.52173913043478,21.62162162162162,87.01298701298701,96.3855421686747,6.896551724137928,15.039764182594734
123,17023,CA,Canada,British Columbia,2020-03-08,93.05555555555557,59.42028985507246,43.69369369369369,94.8051948051948,93.97590361445783,6.896551724137928,0.0
124,17024,CA,Canada,British Columbia,2020-03-09,84.72222222222223,59.42028985507246,38.288288288288285,83.11688311688312,95.18072289156628,10.344827586206895,8.267607721843227
125,17025,CA,Canada,British Columbia,2020-03-10,83.33333333333334,53.623188405797094,22.97297297297297,77.92207792207792,97.59036144578313,13.793103448275861,20.43869995040548
126,17026,CA,Canada,British Columbia,2020-03-11,87.5,62.318840579710134,40.54054054054054,83.11688311688312,93.97590361445783,10.344827586206895,5.353271422383815
127,17027,CA,Canada,British Columbia,2020-03-12,86.11111111111111,76.81159420289853,33.33333333333333,76.62337662337663,93.97590361445783,13.793103448275861,5.926927359597684
128,17028,CA,Canada,British Columbia,2020-03-13,83.33333333333334,89.85507246376811,21.171171171171167,68.83116883116882,91.56626506024097,13.793103448275861,9.214029614216981
129,17029,CA,Canada,British Columbia,2020-03-14,73.61111111111111,81.15942028985505,20.72072072072072,64.93506493506493,89.15662650602411,20.68965517241379,17.933334146535376
130,17030,CA,Canada,British Columbia,2020-03-15,75.00000000000001,72.46376811594202,42.79279279279278,67.53246753246754,84.33734939759037,17.24137931034483,8.741298011772763
131,17031,CA,Canada,British Columbia,2020-03-16,75.00000000000001,100.0,41.44144144144144,51.94805194805194,65.06024096385543,34.48275862068965,6.726617023629313
132,17032,CA,Canada,British Columbia,2020-03-17,61.111111111111114,89.85507246376811,52.702702702702695,42.857142857142854,56.62650602409639,48.275862068965516,14.336198941359878
133,17033,CA,Canada,British Columbia,2020-03-18,45.833333333333336,75.3623188405797,55.85585585585585,36.36363636363637,46.98795180722892,55.17241379310344,25.529769277115676
134,17034,CA,Canada,British Columbia,2020-03-19,36.111111111111114,59.42028985507246,53.153153153153156,28.571428571428577,42.168674698795186,62.06896551724137,39.077577953088365
135,17035,CA,Canada,British Columbia,2020-03-20,30.555555555555554,52.17391304347825,51.35135135135135,28.571428571428577,40.96385542168675,62.06896551724137,44.15702922712919
136,17036,CA,Canada,British Columbia,2020-03-21,16.666666666666668,37.681159420289845,39.189189189189186,27.27272727272727,49.39759036144579,48.275862068965516,55.83757815746873
137,17037,CA,Canada,British Columbia,2020-03-22,9.722222222222223,20.289855072463762,20.27027027027027,18.181818181818183,44.578313253012055,48.275862068965516,75.65516712666262
138,17038,CA,Canada,British Columbia,2020-03-23,16.666666666666668,27.536231884057973,14.864864864864863,11.688311688311689,31.325301204819283,75.86206896551724,82.49131640445184
